Time,Longitude,Latitude,Altitude (m),"CO2, PPM",Humidity (%),Temperature (°C),Barometric Pressure (mBar)
2022-02-18 10:23:00-08:00,-75.28,40.01,119.787,427.1897614,41.73210526,6.410401726,999.5375767
2022-02-18 10:24:00-08:00,-75.28,40.01,119.787,421.1962763,41.7077382,6.479709902,999.5387949
2022-02-18 10:25:00-08:00,-75.28,40.01,119.787,420.4023561,41.51123083,6.530332565,999.5524689
2022-02-18 10:26:00-08:00,-75.28,40.01,119.787,422.4070641,41.72326796,6.343264703,999.6725702
2022-02-18 10:27:00-08:00,-75.28,40.01,119.787,424.1845903,41.77717268,6.462573409,999.5835679
2022-02-18 10:28:00-08:00,-75.28,40.01,119.787,428.2733479,41.30792581,6.623649505,999.5677718
2022-02-18 10:29:00-08:00,-75.28,40.01,119.787,426.3487313,41.23489195,6.55620135,999.5168987
2022-02-18 10:30:00-08:00,-75.28,40.01,119.787,422.5739088,41.39542413,6.571806431,999.511816
2022-02-18 10:31:00-08:00,-75.28,40.01,119.787,422.7660601,41.06356233,6.68308618,999.4957833
2022-02-18 10:32:00-08:00,-75.28,40.01,119.787,420.2965269,41.24039233,6.645491004,999.5140537
2022-02-18 10:33:00-08:00,-75.28,40.01,119.787,419.7581551,41.27665144,6.700658767,999.5304074
2022-02-18 10:34:00-08:00,-75.28,40.01,119.787,420.5665638,41.16502233,6.840117947,999.5587237
2022-02-18 10:35:00-08:00,-75.28,40.01,119.787,423.3395548,41.02462137,6.92679441,999.5129999
2022-02-18 10:36:00-08:00,-75.28,40.01,119.787,418.5286521,41.05335605,6.977941851,999.4410916
2022-02-18 10:37:00-08:00,-75.28,40.01,119.787,417.2325573,41.10852551,6.976778984,999.4104348
2022-02-18 10:38:00-08:00,-75.28,40.01,119.787,414.4969994,41.17566336,6.993619027,999.4919299
2022-02-18 10:39:00-08:00,-75.28,40.01,119.787,417.1402893,40.78527772,7.072743177,999.4148683
2022-02-18 10:40:00-08:00,-75.28,40.01,119.787,420.4159664,40.53488135,7.045646821,999.4596023
2022-02-18 10:41:00-08:00,-75.28,40.01,119.787,419.7381773,40.36402869,7.086178303,999.437101
2022-02-18 10:42:00-08:00,-75.28,40.01,119.787,415.4174883,40.14804471,7.125498895,999.4681177
2022-02-18 10:43:00-08:00,-75.28,40.01,119.787,433.6762187,40.284692,7.077538363,999.454538
2022-02-18 10:44:00-08:00,-75.28,40.01,119.787,432.72791,40.21596575,7.018419266,999.5185041
2022-02-18 10:45:00-08:00,-75.28,40.01,119.787,429.9092968,40.01919629,7.053743947,999.5500977
2022-02-18 10:46:00-08:00,-75.28,40.01,119.787,428.8616114,40.31874537,6.806294084,999.4785549
2022-02-18 10:47:00-08:00,-75.28,40.01,119.787,431.8520439,40.18726903,6.879742438,999.5332878
2022-02-18 10:48:00-08:00,-75.28,40.01,119.787,426.3694477,40.30151093,6.924206614,999.5761863
2022-02-18 10:49:00-08:00,-75.28,40.01,119.787,427.7146104,39.9870998,6.94805136,999.561447
2022-02-18 10:50:00-08:00,-75.28,40.01,119.787,426.4019432,39.78059447,6.854193926,999.4298323
2022-02-18 10:51:00-08:00,-75.28,40.01,119.787,423.1344565,40.06954784,6.743297239,999.4566889
2022-02-18 10:52:00-08:00,-75.28,40.01,119.787,417.2935638,39.99429262,6.886738181,999.5172506
2022-02-18 10:53:00-08:00,-75.28,40.01,119.787,419.8307475,39.85040579,6.842961004,999.6150657
2022-02-18 10:54:00-08:00,-75.28,40.01,119.787,422.7999086,39.97564065,6.648162007,999.6208998
2022-02-18 10:55:00-08:00,-75.28,40.01,119.787,420.8745934,39.5144449,6.750532858,999.5602207
2022-02-18 10:56:00-08:00,-75.28,40.01,119.787,420.1487732,39.58107216,6.726930464,999.536375
2022-02-18 10:57:00-08:00,-75.28,40.01,119.787,420.0259418,39.70701694,6.714252472,999.5148215
2022-02-18 10:58:00-08:00,-75.28,40.01,119.787,424.4278584,39.80812331,6.723399285,999.4510466
2022-02-18 10:59:00-08:00,-75.28,40.01,119.787,413.7978239,39.48541391,6.839757085,999.5139529
2022-02-18 11:00:00-08:00,-75.28,40.01,119.787,418.5024129,39.26657191,6.875349383,999.4224951
2022-02-18 11:01:00-08:00,-75.28,40.01,119.787,426.8862344,39.62133641,6.769138736,999.4693511
2022-02-18 11:02:00-08:00,-75.28,40.01,119.787,425.9940147,39.70228302,6.787351608,999.4912282
2022-02-18 11:03:00-08:00,-75.28,40.01,119.787,425.2577977,39.98070686,6.697040589,999.5129611
2022-02-18 11:04:00-08:00,-75.28,40.01,119.787,425.6725178,39.89846802,6.61394763,999.5012593
2022-02-18 11:05:00-08:00,-75.28,40.01,119.787,423.891065,39.99751109,6.701778443,999.4665986
2022-02-18 11:06:00-08:00,-75.28,40.01,119.787,430.7086496,39.94542718,6.826573014,999.4678277
2022-02-18 11:07:00-08:00,-75.28,40.01,119.787,431.3589123,39.84426794,6.829522564,999.5602799
2022-02-18 11:08:00-08:00,-75.28,40.01,119.787,423.620192,39.5885961,6.858638179,999.5558524
2022-02-18 11:09:00-08:00,-75.28,40.01,119.787,424.2608194,39.57143486,6.891662478,999.5881671
2022-02-18 11:10:00-08:00,-75.28,40.01,119.787,426.0249673,39.49525895,6.87517686,999.6602243
2022-02-18 11:11:00-08:00,-75.28,40.01,119.787,433.4835939,39.22622097,6.935305595,999.6424226
2022-02-18 11:12:00-08:00,-75.28,40.01,119.787,430.9614061,39.30637827,6.949257789,999.6180645
