pickup_datetime,pickup_longitude,pickup_latitude,long,lat,,
3/14/2016 17:24,47.5112,-122.257,-74.257,40.76794,-73,
6/12/2016 0:43,47.721,-122.319,-74.319,40.97774,49.257,
1/19/2016 11:35,47.7379,-122.233,-74.233,40.99464,,
4/6/2016 19:32,47.5208,-122.393,-74.393,40.77754,,40.76793671
3/26/2016 13:30,47.6168,-122.045,-74.045,40.87354,,-6.743263293
1/30/2016 22:01,47.6561,-122.005,-74.005,40.91284,,
6/17/2016 22:34,47.3097,-122.327,-74.327,40.56644,,
5/21/2016 7:54,47.4095,-122.315,-74.315,40.66624,,
5/27/2016 23:12,47.5123,-122.337,-74.337,40.76904,,
3/10/2016 21:45,47.3684,-122.031,-74.031,40.62514,,
5/10/2016 22:08,47.6007,-122.145,-74.145,40.85744,,
5/15/2016 11:16,47.69,-122.292,-74.292,40.94674,,
2/19/2016 9:52,47.7558,-122.229,-74.229,41.01254,,
6/1/2016 20:58,47.6127,-122.045,-74.045,40.86944,,
5/27/2016 0:43,47.67,-122.394,-74.394,40.92674,,
5/16/2016 15:29,47.5714,-122.375,-74.375,40.82814,,
4/11/2016 17:29,47.7277,-121.962,-73.962,40.98444,,
4/14/2016 8:48,47.6648,-122.343,-74.343,40.92154,,
6/27/2016 9:55,47.3089,-122.21,-74.21,40.56564,,
6/5/2016 13:47,47.3343,-122.306,-74.306,40.59104,,
2/28/2016 2:23,47.7025,-122.341,-74.341,40.95924,,
4/1/2016 12:12,47.5316,-122.233,-74.233,40.78834,,
4/9/2016 3:34,47.3266,-122.169,-74.169,40.58334,,
6/25/2016 10:36,47.3533,-122.166,-74.166,40.61004,,
6/3/2016 8:15,47.3739,-122.172,-74.172,40.63064,,
2/14/2016 13:27,47.3048,-122.218,-74.218,40.56154,,
2/27/2016 21:56,47.6386,-122.36,-74.36,40.89534,,
6/20/2016 23:07,47.6221,-122.314,-74.314,40.87884,,
6/13/2016 21:57,47.695,-122.304,-74.304,40.95174,,
3/23/2016 14:10,47.7073,-122.11,-74.11,40.96404,,
5/17/2016 10:47,47.5391,-122.07,-74.07,40.79584,,
5/21/2016 13:03,47.7274,-122.357,-74.357,40.98414,,
5/10/2016 19:27,47.6823,-122.368,-74.368,40.93904,,
4/17/2016 14:38,47.6889,-122.375,-74.375,40.94564,,
1/9/2016 12:55,47.4276,-122.157,-74.157,40.68434,,
3/11/2016 7:11,47.6827,-122.31,-74.31,40.93944,,
1/5/2016 15:29,47.6621,-122.132,-74.132,40.91884,,
6/23/2016 23:00,47.6702,-122.362,-74.362,40.92694,,
5/27/2016 14:26,47.3341,-122.282,-74.282,40.59084,,
5/10/2016 16:14,47.5301,-122.18,-74.18,40.78684,,
4/21/2016 21:28,47.6145,-122.027,-74.027,40.87124,,
4/14/2016 13:27,47.445,-122.347,-74.347,40.70174,,
3/14/2016 14:05,47.6848,-122.016,-74.016,40.94154,,
3/19/2016 1:12,47.6413,-122.364,-74.364,40.89804,,
2/12/2016 7:41,47.4485,-122.175,-74.175,40.70524,,
