lat,long
47.5112,-122.257
47.721,-122.319
47.7379,-122.233
47.5208,-122.393
47.6168,-122.045
47.6561,-122.005
47.3097,-122.327
47.4095,-122.315
47.5123,-122.337
47.3684,-122.031
47.6007,-122.145
47.69,-122.292
47.7558,-122.229
47.6127,-122.045
47.67,-122.394
47.5714,-122.375
47.7277,-121.962
47.6648,-122.343
47.3089,-122.21
47.3343,-122.306
47.7025,-122.341
47.5316,-122.233
47.3266,-122.169
47.3533,-122.166
47.3739,-122.172
47.3048,-122.218
47.6386,-122.36
47.6221,-122.314
47.695,-122.304
47.7073,-122.11
47.5391,-122.07
47.7274,-122.357
47.6823,-122.368
47.6889,-122.375
47.4276,-122.157
47.6827,-122.31
47.6621,-122.132
47.6702,-122.362
47.3341,-122.282
47.5301,-122.18
47.6145,-122.027
47.445,-122.347
47.6848,-122.016
47.6413,-122.364
47.4485,-122.175
47.7443,-121.977
47.3066,-122.371
47.6194,-122.151
47.6796,-122.301
47.4041,-122.451
47.4258,-122.322
47.4934,-122.189
47.6808,-122.384
47.6989,-122.369
47.6571,-122.281
47.6597,-122.29
47.3663,-122.114
47.3663,-122.122
47.588,-122.116
47.5059,-122.149
47.4336,-122.339
47.4366,-122.335
47.4428,-122.344
47.6765,-122.32
47.6113,-122.297
47.5747,-122.304
47.5815,-122.192
47.3378,-122.257
47.3621,-122.11
47.6303,-122.215
47.6525,-122.16
47.7362,-122.179
47.7168,-122.287
47.3608,-122.036
47.3511,-122.073
47.5822,-121.987
47.6034,-122.125
47.5636,-122.394
47.7073,-122.34
47.342,-122.025
47.3512,-122.008
47.349,-122.031
47.5474,-122.291
47.4811,-122.149
47.7264,-122.31
47.6337,-122.365
47.2909,-122.189
47.5228,-122.199
47.518,-122.194
47.5394,-122.387
47.2897,-122.372
47.6506,-122.391
47.322,-122.351
47.687,-122.386
47.687,-122.386
47.5873,-122.249
47.3576,-122.277
47.3036,-122.378
47.4109,-121.958
47.4838,-121.714
47.6415,-122.315
47.6775,-122.372
47.7731,-122.08
47.5814,-122.196
47.4375,-122.184
47.4431,-122.133
47.6878,-122.38
47.3813,-122.322
47.7304,-122.082
47.6417,-122.109
47.5386,-122.053
47.6823,-122.349
47.3624,-122.031
47.5474,-122.295
47.3183,-122.253
47.6981,-122.368
47.6824,-122.347
47.5009,-122.248
47.4965,-122.303
47.587,-122.294
47.7728,-122.386
47.7288,-122.226
47.6999,-122.364
47.5299,-122.266
47.6897,-122.098
47.6141,-122.212
47.5091,-122.244
47.3129,-122.39
47.6763,-122.352
47.5319,-121.85
47.2761,-122.152
47.5343,-122.054
47.697,-122.072
47.5517,-121.998
47.6734,-122.38
47.3257,-122.296
47.3309,-122.299
47.7689,-122.266
47.7135,-122.287
47.6722,-122.381
47.6338,-122.358
47.5707,-122.128
47.4563,-122.171
47.7144,-122.351
47.5495,-122.174
47.7421,-122.026
47.6354,-122.353
47.5262,-121.943
47.3887,-122.286
47.6873,-122.336
47.6838,-122.353
47.655,-122.359
47.3255,-122.304
47.562,-122.162
47.679,-122.3
47.4479,-122.176
47.525,-122.172
47.3135,-122.369
47.2086,-121.996
47.4715,-122.118
47.4877,-122.335
47.7171,-122.193
47.6012,-122.023
47.7319,-122.224
47.4582,-122.023
47.7209,-122.168
47.408,-122.327
47.565,-122.125
47.7028,-122.231
47.7458,-122.331
47.4776,-122.337
47.3026,-122.374
47.7658,-122.339
47.6477,-122.182
47.5619,-122.125
47.6106,-122.31
47.5868,-122.308
47.6101,-122.307
47.1976,-121.999
47.7224,-122.358
47.3505,-122.179
47.5384,-122.376
47.7044,-122.2
47.3848,-122.039
47.6993,-122.102
47.6627,-122.188
47.3099,-122.379
47.62,-122.043
47.65,-122.34
47.6647,-122.153
47.726,-122.191
47.4616,-122.184
47.5505,-122.219
47.7606,-122.336
47.7481,-122.3
47.2779,-122.347
47.5511,-122.312
47.5488,-122.372
47.5385,-121.911
47.4058,-121.994
47.5093,-122.184
47.3777,-122.165
47.675,-122.394
47.3025,-122.37
47.4787,-122.158
47.5378,-122.219
47.7073,-122.114
47.5733,-122.381
47.4604,-122.339
47.7067,-122.343
47.354,-122.047
47.6647,-122.284
47.6143,-122.017
47.3185,-122.275
47.5458,-122.268
47.4889,-122.299
47.5673,-122.21
47.5133,-122.379
47.5884,-122.291
47.7145,-122.367
47.5836,-122.026
47.398,-122.299
47.7663,-122.215
47.3758,-122.217
47.3828,-122.023
47.5123,-122.373
47.7076,-122.013
47.2922,-122.371
47.4075,-122.214
47.6794,-122.034
47.4497,-122.375
47.5218,-122.164
47.3103,-122.339
47.5687,-121.899
47.5575,-122.303
47.6489,-122.183
47.3459,-121.95
47.6136,-122.303
47.7641,-122.023
47.3376,-122.324
47.3173,-122.319
47.5308,-122.376
47.6727,-122.299
47.3221,-122.216
47.6779,-122.353
47.3076,-122.395
47.6338,-122.072
47.5218,-122.357
47.2785,-122.213
47.6846,-122.345
47.3656,-122.278
47.4369,-122.111
47.4616,-121.711
47.5405,-122.27
47.3507,-122.178
47.6979,-122.32
47.5278,-122.345
47.4756,-122.147
47.4437,-121.772
47.7048,-122.109
47.6362,-122.302
47.4207,-122.29
47.6154,-122.047
47.5964,-122.299
47.4683,-122.438
47.4045,-122.171
47.5544,-122.358
47.6802,-122.29
47.2988,-122.371
47.6312,-122.223
47.7285,-122.042
47.7107,-122.352
47.3271,-122.323
47.5053,-122.255
47.6601,-122.4
47.4145,-122.166
47.4672,-122.165
47.7618,-122.261
47.3828,-122.071
47.5362,-122.268
47.3954,-122.206
47.5048,-122.272
47.6166,-122.287
47.6811,-122.025
47.7486,-122.23
47.3846,-122.169
47.7564,-122.144
47.7198,-122.193
47.5461,-122.151
47.5712,-122.143
47.4281,-122.343
47.7128,-122.223
47.3341,-122.255
47.5399,-122.181
47.5717,-122.375
47.5951,-122.017
47.3536,-122.144
47.5084,-122.154
47.5586,-122.311
47.4427,-122.274
47.6053,-122.077
47.3494,-122.301
47.6933,-122.393
47.3537,-122
47.476,-122.337
47.6239,-122.298
47.7776,-122.384
47.6459,-122.058
47.6692,-122.297
47.5376,-122.18
47.601,-122.294
47.529,-121.837
47.6345,-122.367
47.5503,-122.102
47.5503,-122.102
47.4441,-122.125
47.7357,-122.333
47.346,-122.157
47.6638,-122.345
47.48,-122.336
47.6759,-122.151
